Model,Cost (bp),Permutation,Selected Candidate Null,Max Active Null
gbm,0,0,-0.07055647592767586,0.06319945333946358
gbm,0,1,-0.021116161911855308,0.19701602573466
gbm,0,2,0.01717199147818299,0.2145767109647703
gbm,0,3,0.09430607379095088,0.38430856670085367
gbm,0,4,0.03384241967390961,0.19097079782710216
gbm,0,5,0.07142886853639738,0.09797739578350687
gbm,0,6,-0.057048817896547574,0.09615268715218486
gbm,0,7,-0.13227640656820513,0.04460669013790389
gbm,0,8,0.04929407572243802,0.14597357681374454
gbm,0,9,0.10603286589194252,0.12826878412660855
gbm,0,10,0.13830418036814127,0.13830418036814127
gbm,0,11,0.1488261495373143,0.30102244521491095
gbm,0,12,-0.06574227939674773,0.04902779279305408
gbm,0,13,0.17049685988331179,0.17049685988331179
gbm,0,14,-0.18588526008703127,0.06161775864176816
gbm,0,15,0.15860361630545397,0.22392608611916762
gbm,0,16,-0.22446901857173188,0.07557414421825162
gbm,0,17,-0.10422896833983591,0.0831493096413356
gbm,0,18,-0.10974474586990049,0.05219974494058627
gbm,0,19,0.054102700636778855,0.056708992899732386
gbm,0,20,0.05335352577179811,0.10241427856698179
gbm,0,21,0.10208171674087949,0.12370410558018433
gbm,0,22,0.06111644217510562,0.06111644217510562
gbm,0,23,-0.17729702514722862,-0.038551636938669406
gbm,0,24,-0.12009103875024857,0.10844805735847055
gbm,0,25,0.05072583908945297,0.14687271021208884
gbm,0,26,-0.03851516305272813,0.04055692979511846
gbm,0,27,-0.009115472011111514,0.14664973993779698
gbm,0,28,0.08964223047607314,0.1263873349909679
gbm,0,29,-0.05228485396941654,0.01013825886674008
gbm,0,30,-0.1656672569042152,0.023615242331912645
gbm,0,31,0.04497907835434545,0.17095490516261172
gbm,0,32,0.09759046623515558,0.10323322537508026
gbm,0,33,0.14157069518716484,0.16826905164560094
gbm,0,34,0.08136803200888826,0.1746575310533295
gbm,0,35,-0.07873716046160584,-0.003152210840687286
gbm,0,36,-0.05712713713047485,0.022539930965595784
gbm,0,37,0.002368736965639884,0.10129761216218583
gbm,0,38,0.14457260147298387,0.14457260147298387
gbm,0,39,0.12409013940078459,0.18904895165112692
gbm,0,40,-0.07579454664080586,0.035929504416545216
gbm,0,41,-0.09341478962575203,0.1758954445598239
gbm,0,42,0.12304500367786461,0.12304500367786461
gbm,0,43,0.06070908244690468,0.1694955715507754
gbm,0,44,-0.4011332837883411,-0.10199247183835072
gbm,0,45,0.13368494357065738,0.13368494357065738
gbm,0,46,-0.1775658092143121,0.06833320766472153
gbm,0,47,-0.06499326349851048,0.09184163860515773
gbm,0,48,-0.038588082274683994,0.010563094760836833
gbm,0,49,-0.010669257411110078,0.04052712789226412
gbm,0,50,0.01558163855399372,0.09944212318686083
gbm,0,51,0.10692412014012107,0.1386230162651327
gbm,0,52,-0.010416572808696734,0.053837870267581744
gbm,0,53,0.12062884222061457,0.12062884222061457
gbm,0,54,-0.1767255665293611,0.008849000707287447
gbm,0,55,0.04134207633694287,0.15291973154472707
gbm,0,56,-0.008698415139805515,0.028584266871195668
gbm,0,57,-0.17644750330101955,0.034398626148415545
gbm,0,58,-0.036239573298667074,-0.002789211462613017
gbm,0,59,0.024111498863991804,0.3458462786306915
gbm,0,60,0.1363134768099927,0.2587176873451883
gbm,0,61,-0.09143624944511677,0.026037419807117268
gbm,0,62,0.057237579955736306,0.12720720267849808
gbm,0,63,0.05727553781881928,0.13463247915125967
gbm,0,64,0.21901838227212392,0.21901838227212392
gbm,0,65,0.2506330924485203,0.2506330924485203
gbm,0,66,-0.0464061992805168,0.09519475278422604
gbm,0,67,0.04513786719707005,0.15008072951631438
gbm,0,68,0.04624019299413412,0.14595693168878723
gbm,0,69,-0.16117710727727091,0.015314026204828246
gbm,0,70,0.04231186797579045,0.11134615246641419
gbm,0,71,0.08088679063130574,0.1621566309026354
gbm,0,72,-0.11516361821734111,0.035869813626298375
gbm,0,73,-0.097036098557402,-0.07544486781925476
gbm,0,74,-0.0051838509336301075,0.013947374383834837
gbm,0,75,-0.005189845913019159,0.0865578686240969
